title,display_title,author,work,doc_type,collection,chunks
BHBY-CH5-1.pdf,Survival vs. Creation,Joe Dispenza,Breaking the Habit of Being Yourself,book,metaphysics,15
BHBY-CH8.pdf,Understanding Brainwaves and Meditation,Joe Dispenza,Breaking the Habit of Being Yourself,book,metaphysics,25
BHBY-INTRO.pdf,Breaking the Habit of Being Yourself,Joe Dispenza,Breaking the Habit of Being Yourself,book,metaphysics,19
BIOLOGICAL_INTERACTION_AND_HOMEOSTASIS_I.docx,Biological Interaction and Homeostasis in Evolution,Dozie Iwuh,,paper,unsorted,19
Basti_Intelligence_Reference5.pdf,Formal ontology of the natural computation,Gianfranco Basti,,paper,science_bridge,50
Becoming More Productive by Outsourcing.pdf,Becoming More Productive by Outsourcing,Dr. Hugo Alberts and Elaine Houston,,worksheet,unsorted,8
Before-You-Die Bucket List.pdf,Before-You-Die Bucket List,Lucinda (PsyD) and Hugo Alberts (PhD),,worksheet,unsorted,5
Bohr_Heidegger_The_Unspeakable_and_Dis_C.pdf,"Bohr, Heidegger, the Unspeakable and Dis-Closure: An Exercise in Quantum Neurophilosophy",Gordon Globus,NeuroQuantology,article,science_bridge,30
Bread_and_Roses_Voices_of_Australian_Aca.docx,Bread and Roses: Voices of Australian Academics from the Working Class,,,book,unsorted,27
Breaking_Convention_The_3rd_Internationa.pdf,Breaking Convention,,,conference proceedings,metaphysics,152
Breaking_Convention_The_4th_Internationa.pdf,Breaking Convention: 4th International Conference on Psychedelic Consciousness,,,conference proceedings,metaphysics,196
Brentano_and_Husserl_on_Self_awareness.pdf,Brentano and Husserl on Self-Awareness,Dan Zahavi,Études Phénoménologiques,article,metaphysics,64
Bruce Lipton-Power of Consciosness.pdf,The Power of Consciousness and Programming,Bruce Lipton,,transcript,science_bridge,98
Building Self-Efficacy by Taking Small Steps.pdf,Building Self-Efficacy by Taking Small Steps,"Hugo Alberts, Lucinda Poole",,worksheet,science_bridge,6
CAN_LINKING_THE_RECALL_SYSTEM_TO_ADDICTI.pdf,Can Linking the Recall System to Addiction Enable a Better Understanding of the Dopaminergic Pathway?,Dozie Iwuh,,paper,addiction_recovery,17
CHARISMATIC_HEALING_A_Phenomenological_S.pdf,"Charismatic Healing: A Phenomenological Study of Spiritual Healing in Ottawa, Canada",Nadya A. Pohran,,thesis,science_bridge,278
CT Handbook-Student Handbook-OCR.pdf,Handbook for Students and 'On-the-Beam' Clubs,,Concept-Therapy Institute,handbook,healing_modalities,63
Challenging_the_transcendental_position.pdf,Challenging the transcendental position: the holism of experience,Manly P. Hall,,article,unsorted,54
Chaos_and_Complexity_Letters_THE_BRAIN_I.pdf,"The Brain is Like an Orchestra. Better Yet, It is Like a Jazz Combo, Which Doesn’t Need a Conductor",Giuseppe Vitiello,Chaos and Complexity Letters,article,science_bridge,38
Chaucer_s_Knight_s_Tale_and_the_Narrativ.pdf,Forty-Seventh International Congress on Medieval Studies,,,conference program,unsorted,304
Choice Point.pdf,Choice Point,Lucinda Poole (Ph.D.),,worksheet,science_bridge,5
Chreods_Homeorhesis_and_Biofields_Findin.pdf,"Chreods, Homeorhesis and Biofields: FINDING THE RIGHT PATH FOR SCIENCE THROUGH DAOISM",Arran Gare,"Progress in Biophysics and Molecular Biology, Special Issue on Integral Biomathics",article,science_bridge,178
Christian_Science_versus_the_Rest_Cure_i.pdf,Christian Science versus the Rest Cure in Frances Hodgson Burnett's The Secret Garden,Anne Stiles,,article,unsorted,49
Classic_Hallucinogens_and_Mystical_Exper.pdf,Classic Hallucinogens and Mystical Experiences: Phenomenology and Neural Correlates,Manly P. Hall,Behavioral Neurobiology of Psychedelic Drugs,chapter,science_bridge,88
Classism_on_campus_Exploring_and_extendi.docx,Classism on campus? Exploring and extending understandings of social class in the contemporary higher education debate,Angelique Bletsas and Dee Michell,Universities in Transition: Foregrounding Social Contexts of Knowledge in the First Year Experience,chapter,unsorted,36
Completing Sentences to Clarify Values.pdf,Completing Sentences to Clarify Values,Lucinda Poole,Values clarification in counseling and psychotherapy: Practical strategies for individual and group settings,worksheet,healing_modalities,6
Connection_100_An_Auto_ethnography_of_my.pdf,Connection 100—An Auto-Ethnography of My (Mystical) Connection Experiences,Mike Sosteric,Religions,article,science_bridge,85
Crafting Team Tasks Around Strengths.pdf,Crafting Team Tasks Around Strengths,,,worksheet,unsorted,6
Creating Realistic Optimism for Resilience.pdf,Creating Realistic Optimism for Resilience,Dr. Jeremy Sutton,,worksheet,science_bridge,1
Creating a Comfortable Workspace.pdf,Creating a Comfortable Workspace,Elaine Houston,,worksheet,unsorted,17
Critique_of_Husserls_Idealist_Phenomenol.pdf,Critique of Husserl’s Idealist Phenomenologism of Essences,Paul Gerard Horrigan,,paper,unsorted,52
Cruel_Women_Findings_from_the_Long_Histo.docx,Cruel Women: Findings from the Long History of Foster Care Project,,,paper,unsorted,17
Cultivating Gratitude Through Counterfactual Thinking.pdf,Cultivating Gratitude Through Counterfactual Thinking,,,article,science_bridge,4
Cultural_Neurophenomenology_of_Psychedel.pdf,Cultural Neurophenomenology of Psychedelic Thought: Guiding the “Unconstrained” Mind Through Ritual Context,"Michael Lifshitz, Eli Sheiner, and Laurence J. Kirmayer","The Oxford Handbook of Spontaneous Thought: Mind-Wandering, Creativity, and Dream",chapter,science_bridge,95
Current_perspectives_on_psychedelic_ther.pdf,Current perspectives on psychedelic therapy: use of serotonergic hallucinogens in clinical interventions,Albert Garcia-Romeu & William A. Richards,International Review of Psychiatry,article,healing_modalities,100
DMT_entities.pdf,Breaking Convention,,,conference proceedings,metaphysics,152
Daily Gratitude Check-In.pdf,Daily Gratitude Check-In,,,worksheet,science_bridge,4
Daily Motivational Awareness.pdf,Daily Motivational Awareness,,Positive Psychology Toolkit,worksheet,unsorted,3
Daily Strengths Awareness.pdf,Daily Strengths Awareness,,,worksheet,science_bridge,3
Das_Gesetz_die_Anklage_und_K_s_Prozess_F.pdf,"Das Gesetz, die Anklage und K.s Prozess",Franz Kafka und Franz Brentano,Jahrbuch der deutschen Schillergesellschaft,article,unsorted,51
Dear_Miss_Spence_An_Open_Letter_to_Cath.docx,Dear Miss Spence: An Open Letter to Catherine Helen Spence (1825-1910),,Life Writing,article,unsorted,38
Deep Work Plan.pdf,Deep Work Plan,Dr. Lucinda Poole and Dr. Hugo Alberts,,worksheet,science_bridge,7
Detecting Mind Wandering.pdf,Detecting Mind Wandering,,,article,science_bridge,7
Developing_Guidelines_and_Competencies_f.pdf,Developing Guidelines and Competencies for the Training of Psychedelic Therapists,Janis Phelps,Journal of Humanistic Psychology,article,healing_modalities,77
Dispenza-SuperNatural-CH-11-Space-Time.pdf,Understanding Space-Time and Time-Space,Joe Dispenza,Supernatural,chapter,science_bridge,57
Dissipation_and_Memory_Capacity_in_the_Q.pdf,Dissipation and memory capacity in the quantum brain model,Giuseppe Vitiello,,paper,science_bridge,33
Dissipative_neurodynamics_in_perception.pdf,Dissipative neurodynamics in perception,Walter J. Freeman and Giuseppe Vitiello,,paper,science_bridge,55
Ecodelia_Towards_a_transpersonal_ecopsyc.pdf,Breaking Convention 2017,,,conference program,metaphysics,197
Eden_Garden_of.pdf,"Eden, Garden of",,Science and Health,chapter,unsorted,69
Eliminate Procrastination.pdf,Eliminate Procrastination,Elaine Houston,,worksheet,science_bridge,12
Energy Drainers and Givers at Work.pdf,Energy Drainers and Givers at Work,Dr. Lucinda Poole and Dr. Hugo Alberts,,worksheet,science_bridge,8
Entanglement_and_Phase_Mediated_Correlat.pdf,Entanglement and Phase-Mediated Correlations in Quantum Field Theory. Application to Brain-Mind States,Shantena A. Sabbadini and Giuseppe Vitiello,,paper,science_bridge,51
Essere_nel_mondo_Io_e_il_mio_Doppio.pdf,Essere nel mondo: Io e il mio Doppio,Giuseppe Vitiello,,paper,science_bridge,41
Everybody_has_a_mystical_connection_expe.docx,Everybody has a connection experience,Dr. Mike Sosteric,Spirituality Studies,paper,metaphysics,24
Exploring Past Resilience.pdf,Exploring Past Resilience,,,worksheet,unsorted,2
Expressing Anger.pdf,Expressing Anger,,,worksheet,unsorted,1
Facing the Effect of Fear-Based Beliefs on Goal Achievement.pdf,Facing the Effect of Fear-Based Beliefs on Goal Achievement,,,worksheet,science_bridge,4
Father Martin Chalk Talk on Alcohol - Family and Forgiveness.pdf,Chalk Talk on Alcohol - Family and Forgiveness,,,transcript,addiction_recovery,25
Fear inventory Example (1) (1).pdf,Fear Inventory,,,worksheet,metaphysics,5
Fear inventory template.docx,Fear Inventory,,Alcoholics Anonymous,worksheet,metaphysics,1
Fear-Inventory-3-1.pdf,Fear Inventory,,,worksheet,unsorted,1
Find the Person Behind the Strengths.pdf,Find the Person Behind the Strengths,,,worksheet,science_bridge,4
Finding a Complementary Partner.pdf,Finding a Complementary Partner,Elaine Houston,,worksheet,unsorted,7
Foster_care_stigma_and_the_study_unkilla.docx,"Foster care, stigma, and the sturdy, unkillable children of the very poor",,Continuum: Journal of Media & Cultural Studies,article,science_bridge,44
Fractals_as_macroscopic_manifestation_of.pdf,Fractals as macroscopic manifestation of squeezed coherent states and brain dynamics,Giuseppe Vitiello,,paper,science_bridge,32
From_Affectivity_to_Subjectivity_Husserl.pdf,From Affectivity to Subjectivity: Husserl’s Phenomenology Revisited,Christian Lotz,,paper,unsorted,350
From_Hagiography_to_Personal_Pain_Storie.docx,From Hagiography to Personal Pain: Stories of Australia foster care from the 19th century to the 21st,Dee Michell,Adoption & Culture,paper,unsorted,49
From_Zoroaster_to_Star_Wars_Jesus_to_Mar.pdf,"From Zoroaster to Star Wars, Jesus to Marx: The Art, Science and Technology of Human Manipulation",Mike Sosteric,,article,metaphysics,67
From_the_Question_of_Time_to_the_Time_of.pdf,From the Question of Time to the Time of Questioning: Husserl and the Ambiguity of Time,"KWOK, Sai Hang",,thesis,unsorted,552
Giving Yourself Permission to Make Mistakes.pdf,Giving Yourself Permission to Make Mistakes,Elaine Houston,,worksheet,unsorted,12
Gratitude Journal.pdf,Gratitude Journal,,Positive Psychology Toolkit,worksheet,science_bridge,4
Gratitude Letter.pdf,Gratitude Letter,,Positive Psychology Toolkit,worksheet,science_bridge,3
Gratitude Meditation.pdf,Gratitude Meditation,,,worksheet,science_bridge,4
Gratitude Resentment and Appreciation Test.pdf,Gratitude Resentment and Appreciation Test,,,worksheet,science_bridge,7
Gratitude by Mental Elimination.pdf,Gratitude by Mental Elimination,,Positive Psychology Toolkit,worksheet,science_bridge,2
Gratitude for Important People.pdf,Gratitude for Important People,,Positive Psychology Toolkit,worksheet,science_bridge,3
Gratitude in Romantic Relationships.pdf,Gratitude in Romantic Relationships,,,article,unsorted,8
HOW_BIOLOGICAL_INTERACTION_EXPLAINS_THE.docx,How Biological Interaction Explains the Origin of Life,Dozie Iwuh,,paper,unsorted,31
Habit Tracker.pdf,Habit Tracker,Elaine Houston,,worksheet,science_bridge,10
Hartmann_Schutz_and_the_Hermeneutics_of.pdf,"Hartmann, Schutz and the Hermeneutics of Action",Robert Welsh Jordan,,paper,unsorted,32
Hawkins-Addiction-3.pdf,"Addiction: 3 Understanding Energy Fields, Emotions, and Their Impacts on Human Behavior",David R. Hawkins,,transcript,addiction_recovery,44
Hawkins-Addiction-4-12-Steps.pdf,Addiction: The 12 Steps of Addiction Recovery,David R. Hawkins,,transcript,addiction_recovery,28
Hawkins-Addiction-6.pdf,The Importance of Experience and Competition in Personal Development,David R. Hawkins,,transcript,addiction_recovery,5
Hawkins-Addiction-CH-2.pdf,The Way Out of Addiction: Overcoming Fear and Addiction Through Self-Healing,David R. Hawkins,Addiction,chapter,addiction_recovery,9
Hawkins-Addiction-Guide.pdf,"Addiction: Exploring the Concepts of Pride, Ownership, and Spiritual Transformation",David R. Hawkins,,transcript,addiction_recovery,14
Healing From Trauma Through Writing.pdf,Healing From Trauma Through Writing,,,worksheet,healing_modalities,4
Hearth-Book-1-Heart-Earth-Syncretism-121-OCR.pdf,Heart of Earth: Syncretism,,Hearth,book,metaphysics,45
How_does_one_prove_ones_elf_Exploring_th.pdf,3rd International Conference on Psychedelic Consciousness,,,conference program,metaphysics,152
How_the_will_Mediates_Brain_Functions_A.pdf,How the will Mediates Brain Functions: A Look at Dyslexia (and Dyscalculia),Dozie Iwuh,,article,science_bridge,42
Human_Abductive_Cognition_Vindicated_Com.pdf,Human Abductive Cognition Vindicated,Lorenzo Magnani,,article,unsorted,41
Human_dependence_human_needs_Maslow_and.pdf,"Human dependence, human needs, Maslow, and the Circle of Seven Essential Needs",Mike Sosteric,,transcript,science_bridge,12
Husserl_on_Human_Subjects_as_Sense_Giver.pdf,Husserl on Human Subjects as Sense-Givers and Sense-Apprehenders in a World of Significance,Dermot Moran,,paper,metaphysics,69
Husserl_versus_Neo_Kantianism_Revisited.pdf,"Husserl versus Neo-Kantianism Revisited: On Skepticism, Foundationalism, and Intuition",Rosemary R. P. Lerner,The New Yearbook for Phenomenology and Phenomenological Philosophy,article,unsorted,86
Husserlian_Phenomenology_The_Body_At_Cri.pdf,Husserlian Phenomenology: The Living Body at Crisis,Jenske Verhamme,,paper,unsorted,33
Husserls_Critique_of_Brentanos_Doctrine.pdf,Husserl’s Critique of Brentano’s Doctrine of Inner Perception and its Significance for Understanding Husserl’s Method in Phenomenology,Cyril McDonnell,,article,unsorted,138
Husserls_static_and_genetic_phenomenolog.pdf,Husserl’s static and genetic phenomenology: Translator’s introduction to two essays,Anthony J. Steinbock,Husserliana Collected Works,article,unsorted,54
Hyperspatial_journeys_with_your_goodself.pdf,Breaking Convention,,,conference program,science_bridge,204
IGWEBUIKE_PHILOSOPHY_AND_COMPLEMENTARY_R.pdf,Igwebuike Philosophy And Complementary Relations,Ikechukwu Anthony KANU,,book,unsorted,441
IM-900-Biology of Belief-Course+Exam-Printout .pdf,Biology of Belief Course Exam,"Dr. Bruce H. Lipton, Ph.D",Biology of Belief,worksheet,science_bridge,17
IQ-300 - Five Pillars Guidelines - Case Study.pdf,Five Pillars Assessment Guidelines,,,worksheet,science_bridge,4
IQ-501+Course+Printout+1-dispenza-1.pdf,Breaking the Habit of Being Yourself,Joe Dispenza,,workshop,science_bridge,12
IQ_501-Course_Printout-2-Dispenza_-OCR.pdf,IQ-501 - Neuroplasticity,Joe Dispenza,,course material,science_bridge,11
Identify & Eliminate Your Workplace Time Wasters.pdf,Identify and Eliminate Workplace Time Wasters,Dr. Hugo Alberts and Elaine Houston,,worksheet,unsorted,7
Implementation Intentions.pdf,Implementation Intentions,Noel Lyons MSc,,worksheet,science_bridge,6
Increasing Awareness of Complaining.pdf,Increasing Awareness of Complaining,,Positive Psychology Toolkit,article,unsorted,4
Increasing Self-Control through Repeated Practice.pdf,Increasing Self-Control through Repeated Practice,,,article,science_bridge,5
Indigenous_perspectives_on_psychedelics.pdf,Breaking Convention,,,conference program,science_bridge,204
Introduction_to_Phenomenology.pdf,Phenomenology,Edmund Husserl,Encyclopaedia Britannica,article,science_bridge,20
